title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq0008;size=205;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0016;size=53;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0025;size=33;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0034;size=28;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0038;size=26;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0040;size=25;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0041;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0042;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0043;size=25;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0044;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0045;size=24;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0049;size=24;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0057;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0058;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0060;size=22;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0061;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0064;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0065;size=22;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0066;size=21;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0067;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0071;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0072;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0073;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0077;size=20;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0079;size=20;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0080;size=20;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0081;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0082;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0083;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0086;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0087;size=19;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0089;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0090;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0092;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0093;size=18;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0094;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0096;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0097;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0099;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0100;size=18;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0103;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0104;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0105;size=17;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0107;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0108;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0109;size=16;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0110;size=16;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0111;size=16;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0112;size=16;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0113;size=16;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0114;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0116;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0118;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0119;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0121;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0122;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0123;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0124;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0125;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0126;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0127;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0128;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0129;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0130;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0131;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0132;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0134;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0136;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0137;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0138;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0139;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0140;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0141;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0142;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0145;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0147;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0148;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0149;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0150;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0151;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0152;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0153;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0155;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0156;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0159;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0160;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0161;size=13;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0163;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0164;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0165;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0167;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0168;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0169;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0170;size=13;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0171;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0173;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0176;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0178;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0181;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0182;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0184;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0186;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0187;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0188;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0189;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0190;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0191;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0192;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0193;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0194;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0196;size=11;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0200;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0201;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0203;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0207;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0208;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0209;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0211;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0212;size=11;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0215;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0217;size=10;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0220;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0223;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0224;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0225;size=10;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0226;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0228;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0230;size=10;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0232;size=10;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0233;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0234;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
